项目（单位：万元）,中心/区域,板块业务分类,业务板块-分析汇报一级,组织标签,实际（营收）,预算（营收）,预算完成率（营收）,预实差异（营收）,同期（营收）,实际值（物资）,预算值（物资）,预算完成率（物资）,同期值（物资）,实际值（餐）,预算值（餐）,预算完成率（餐）,同期值（餐）,实际值（毛利）,预算值（毛利）,预算完成率（毛利）,同期值（毛利）,实际（毛利率）,预算（毛利率）,预实差异（毛利率）,同期（毛利率）,实际值（人力）,预算值（人力）,预算完成率（人力）,同期值（人力）,实际值（其他）,预算值（其他）,预算完成率（其他）,同期值（其他）,实际值（外收）,预算值（外收）,同期值（外收）,实际值（外支）,预算值（外支）,同期值（外支）,实际（利润）,预算（利润）,预算完成率（利润）,预实差异（利润）,同期（利润）,实际值（利润率）,预算值（利润率）,预实差异（利润率）,同期值（利润率）,实际值（人力成本率）,预算值（人力成本率）,预算完成率（人力成本率）,同期值（人力成本率）,实际值（创收）,预算值（创收）,预算完成率（创收）,同期值（创收）,实际值（创利）,预算值（创利）,预算完成率（创利）,同期值（创利）,实际值（人数）,预算值（人数）,预实差异（人数）,同期值（人数）,实际值（人均人力）,同期值（人均人力）,预算值（人均人力）,预实差异（人均人力）,看板取值标记
线下商超-商业街,商业业务,线下商超-商业街,,,610.16,633.85,96.26%,-23.69,639.66,361.21,405.71,89.03%,413.99,2.42,0,,0.07,246.53,228.14,108.06%,225.6,40.40%,35.99%,4.41%,35.27%,60.38,63.09,95.70%,55.13,4.66,2.58,181.10%,9.39,0,0,0,0,0,0,181.49,162.47,111.71%,19.02,161.09,29.74%,25.63%,4.11%,25.18%,9.90%,9.95%,95.70%,8.62%,10.11,10.05,100.58%,11.6,3.01,2.58,116.72%,2.92,11.14,13,-1.86,12.57,5.42,4.39,4.85,0.57,
海实文创店,商业业务,线下商超-商业街,后勤商业街,海实文创店,256.16,269,95.23%,-12.84,276.27,154.6,181.28,85.28%,187.37,0,0,,0,101.56,87.72,115.78%,88.9,39.65%,32.61%,7.04%,32.18%,14.05,15.59,90.10%,13.55,2.49,1.11,223.25%,1.12,0,0,0,0,0,0,85.02,71.01,119.72%,14.01,74.22,33.19%,26.40%,6.79%,26.87%,5.48%,5.80%,90.10%,4.91%,18.23,17.25,105.69%,20.39,6.05,4.55,132.88%,5.48,2.57,3,-0.43,3,5.46,4.52,5.2,0.27,
教育园嗨购店,商业业务,线下商超-商业街,后勤商业街,教育园嗨购店,218,239,91.21%,-21,246.37,144.37,158.93,90.84%,161.34,0,0,,0,73.63,80.06,91.97%,85.03,33.78%,33.50%,0.28%,34.51%,18.9,18.81,100.51%,16.79,0.27,0.16,165.33%,0.37,0,0,0,0,0,0,54.47,61.1,89.15%,-6.63,67.87,24.99%,25.56%,-0.58%,27.55%,8.67%,7.87%,100.51%,6.82%,11.53,12.71,90.75%,14.67,2.88,3.25,88.70%,4.04,3.43,4,-0.57,4,5.51,4.2,4.7,0.81,
教育园咖啡店,商业业务,线下商超-商业街,后勤商业街,教育园咖啡店,54.93,50.01,109.85%,4.92,53.34,8.73,17,51.34%,14.84,2.42,0,,0.07,43.78,33,132.65%,38.43,79.70%,66.00%,13.70%,72.05%,14.3,13.96,102.40%,12.48,0.51,0.58,87.03%,0.88,0,0,0,0,0,0,28.98,18.46,156.97%,10.52,25.08,52.76%,36.92%,15.84%,47.02%,26.03%,27.92%,102.40%,23.39%,3.84,3.58,107.27%,4.28,2.03,1.32,153.29%,2.01,2.57,3,-0.43,2.86,5.56,4.37,4.65,0.91,
教育园文创店,商业业务,线下商超-商业街,后勤商业街,教育园文创店,43.51,58,75.02%,-14.49,57.45,25.45,34.22,74.37%,33.48,0,0,,0,18.06,23.78,75.96%,23.96,41.51%,41.00%,0.51%,41.71%,8.13,8.92,91.08%,0,0.99,0.2,495.27%,0,0,0,0,0,0,0,8.94,14.66,61.00%,-5.72,23.96,20.55%,25.27%,-4.72%,41.71%,18.68%,15.39%,91.08%,0.00%,5.35,6.5,82.37%,,1.1,1.64,66.98%,,1.71,2,-0.29,0,4.74,,4.46,0.28,
教育园校服店,商业业务,线下商超-商业街,后勤商业街,教育园校服店,37.56,17.85,210.42%,19.71,6.23,28.06,14.28,196.50%,16.95,0,0,,0,9.5,3.57,266.10%,-10.71,25.29%,20.00%,5.29%,-171.91%,5.01,5.81,86.22%,12.31,0.42,0.52,80.06%,7.02,0,0,0,0,0,0,4.08,-2.76,347.99%,6.84,-30.04,10.86%,-15.44%,26.31%,-482.08%,13.33%,32.53%,86.22%,197.45%,7.5,3.07,244.06%,0.51,0.81,-0.47,371.65%,-2.44,0.86,1,-0.14,2.71,5.84,4.53,5.81,0.03,
科创发展中心,科创发展中心,,,,2.17,0,,2.17,10.99,0,0,,0,0,0,,0,2.17,0,,10.99,100.00%,,100.00%,100.00%,317.61,316.96,100.21%,198.09,69.7,96.26,72.40%,44.61,0,0,0,0,0,0,-385.14,-413.23,106.80%,28.09,-231.72,-17748.39%,,-17748.39%,-2108.50%,14636.54%,,100.21%,1802.57%,0.01,0,,0.06,-1.21,-1.3,106.99%,-1.17,17.29,18.43,-1.14,13.86,18.37,14.3,17.2,1.17,营收/利润取值
后勤市场管理部,科创发展中心,科创发展中心,后勤市场管理部,后勤市场管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,77.41,84.47,91.65%,27.62,38.8,64.52,60.13%,25.14,0,0,0,0,0,0,-116.21,-148.98,122.00%,32.77,-52.77,,,0.00%,,,,91.65%,,0,0,,0,-1.5,-1.76,114.89%,-1.91,3.71,4.57,-0.86,2.86,20.84,9.67,18.48,2.36,
后勤数智研发部,科创发展中心,科创发展中心,后勤数智研发部,后勤数智研发部,0,0,,0,10.99,0,0,,0,0,0,,0,0,0,,10.99,,,0.00%,100.00%,239.82,226.25,106.00%,170.47,30.9,31.75,97.34%,19.47,0,0,0,0,0,0,-270.72,-258,95.07%,-12.72,-178.95,,,0.00%,-1628.35%,,,106.00%,1551.21%,0,0,,0.06,-1.13,-1.14,101.01%,-1.05,11.86,13.86,-2,11,20.23,15.5,16.33,3.9,
托管学校入模产品服务,科创发展中心,科创发展中心,托管学校入模产品服务,托管学校入模产品服务,2.17,0,,2.17,0,0,0,,0,0,0,,0,2.17,0,,0,100.00%,,100.00%,,0,0,,0,0,0,,0,0,0,0,0,0,0,2.17,0,0.00%,2.17,0,100.00%,,100.00%,,0.00%,,,,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
后勤供应发展部,科创发展中心,科创发展中心,后勤供应发展部,后勤供应发展部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0.38,6.25,6.06%,0,0,0,,0,0,0,0,0,0,0,-0.38,-6.25,193.92%,5.87,0,,,0.00%,,,,6.06%,,0,0,,,-1,-1,99.58%,,1.71,0,1.71,0,0.22,,,,
战略支持中心,战略支持中心,,,,339.22,339.22,100.00%,0,11.33,-21.5,0,,0,-8.05,-29.55,27.23%,0,368.77,368.77,100.00%,11.33,108.71%,108.71%,0.00%,100.00%,610.43,823.07,74.17%,541.67,193.23,231.07,83.63%,-38.17,1.19,0,0.35,0.43,0,0,-434.14,-685.37,136.66%,251.23,-491.81,-127.98%,-202.04%,74.06%,-4342.47%,179.95%,242.64%,74.17%,4782.65%,0.56,0.41,134.83%,0.02,-0.71,-0.83,114.59%,-0.91,35.29,47.43,-12.14,42.43,17.3,12.77,17.35,-0.05,营收/利润取值
后勤财务管理部,战略支持中心,战略支持中心,后勤财务管理部,后勤财务管理部,0,0,,0,0,-21.5,0,,0,-8.05,-29.55,27.23%,0,29.55,29.55,99.99%,0,,,0.00%,100.00%,88.71,93.2,95.19%,66.78,13.51,13.92,97.05%,-25.26,0.83,0,0.08,0.26,0,0,-72.1,-77.57,107.05%,5.47,-41.44,,,0.00%,-4144062700.00%,,,95.19%,6678212800.00%,0,0,,0,-0.81,-0.83,102.35%,-0.62,6.14,7.57,-1.43,6.71,14.44,9.95,12.31,2.13,
后勤解决方案部,战略支持中心,战略支持中心,后勤解决方案部,后勤解决方案部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,106.23,156.93,67.70%,107.85,46.85,29.55,158.56%,17.76,0,0,0,0.01,0,0,-153.09,-186.47,117.90%,33.38,-125.61,,,0.00%,,,,67.70%,,0,0,,0,-1.44,-1.19,78.73%,-1.16,6.57,11.43,-4.86,12,16.17,8.99,13.73,2.43,
后勤品牌战略部,战略支持中心,战略支持中心,后勤品牌战略部,后勤品牌战略部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,98.04,100.99,97.08%,60.52,51.8,72.2,71.75%,-6.82,0,0,0.28,0,0,0,-149.84,-173.19,113.48%,23.35,-53.42,,,0.00%,,,,97.08%,,0,0,,0,-1.53,-1.71,110.88%,-0.88,7.86,8,-0.14,7.14,12.48,8.47,12.62,-0.15,
后勤人资管理部,战略支持中心,战略支持中心,后勤人资管理部,后勤人资管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,121.09,120.85,100.20%,92.88,15.71,27.68,56.74%,-40.66,0,0,0,0,0,0,-136.8,-148.53,107.90%,11.73,-52.23,,,0.00%,,,,100.20%,,0,0,,0,-1.13,-1.23,108.08%,-0.56,9.71,12.43,-2.71,8.86,12.47,10.49,9.72,2.74,
后勤学院,战略支持中心,战略支持中心,后勤学院,后勤学院,0,0,,0,11.33,0,0,,0,0,0,,0,0,0,,11.33,,,0.00%,100.00%,67.16,61.18,109.77%,62.83,22.07,32.9,67.07%,17.72,0,0,0,0.04,0,0,-89.27,-94.08,105.11%,4.81,-69.23,,,0.00%,-611.26%,,,109.77%,554.78%,0,0,,0.18,-1.33,-1.54,113.56%,-1.1,3.29,4,-0.71,4,20.44,15.71,15.3,5.14,
后勤集团总裁室,战略支持中心,战略支持中心,后勤集团总裁室,后勤集团总裁室,339.22,339.22,100.00%,0,0,0,0,,0,0,0,,0,339.22,339.22,100.00%,0,100.00%,100.00%,0.00%,,129.19,289.91,44.56%,150.8,43.3,54.83,78.97%,-0.91,0.35,0,0,0.12,0,0,166.96,-5.52,3224.89%,172.48,-149.89,49.22%,-1.63%,50.85%,,38.09%,85.46%,44.56%,,2.63,1.17,224.40%,0,1.29,-0.02,6987.84%,-0.99,1.71,4,-2.29,3.71,75.36,40.6,72.48,2.89,
后勤管理中心,后勤管理中心,,,,"8,529.11","8,780.51",97.14%,-251.4,"8,803.04",0.5,0,,-19.95,894.65,955.96,93.59%,945.52,"7,633.96","7,824.54",97.56%,"7,877.46",89.50%,89.11%,0.39%,89.49%,"3,438.90","3,547.63",96.94%,"3,580.48","4,584.37","4,704.52",97.45%,"5,152.09",27.05,10.59,20.47,18.69,0,0.78,-380.95,-417.02,108.65%,36.07,-835.43,-4.47%,-4.75%,0.28%,-9.49%,40.32%,40.40%,96.94%,40.67%,2.48,2.48,100.21%,2.46,-0.11,-0.12,105.76%,-0.23,478.86,568.14,-89.29,561.71,7.18,6.37,6.24,0.94,
教育园特色餐饮,后勤管理中心,教育园特色餐饮,,,"1,388.30","1,461.14",95.02%,-72.84,"1,353.74",0,0,,0.63,574.69,574.35,100.06%,528.07,813.61,886.79,91.75%,825.04,58.60%,60.69%,-2.09%,60.95%,346.25,352.73,98.16%,318.98,157.27,174.12,90.32%,189.78,0.41,0,0.02,1.76,0,0.3,308.75,359.93,85.78%,-51.18,316,22.24%,24.63%,-2.39%,23.34%,24.94%,24.14%,98.16%,23.56%,4.01,4.14,96.79%,4.24,0.89,1.02,87.39%,0.99,66.43,77.86,-11.43,71.71,5.21,4.45,4.53,0.68,营收/利润取值
生活体验广场,后勤管理中心,教育园特色餐饮,教育园特色餐饮,生活体验广场,"1,080.53","1,080.58",100.00%,-0.05,"1,001.74",0,0,,0.63,458.74,437.21,104.92%,401.12,621.79,643.36,96.65%,600,57.54%,59.54%,-1.99%,59.90%,238.86,231.59,103.14%,214.74,129.2,144.1,89.66%,160.66,0.41,0,0,1.44,0,0.3,252.71,267.68,94.41%,-14.97,224.3,23.39%,24.77%,-1.38%,22.39%,22.11%,21.43%,103.14%,21.44%,4.52,4.67,96.95%,4.66,1.06,1.16,91.53%,1.04,45.14,50,-4.86,48.43,5.29,4.43,4.63,0.66,
中西餐厅,后勤管理中心,教育园特色餐饮,教育园特色餐饮,中西餐厅,307.77,380.56,80.87%,-72.79,352.01,0,0,,0,115.95,137.13,84.55%,126.96,191.82,243.43,78.80%,225.05,62.33%,63.97%,-1.64%,63.93%,107.39,121.14,88.65%,104.24,28.07,30.03,93.49%,29.12,0,0,0.02,0.32,0,0,56.04,92.26,60.74%,-36.22,91.71,18.21%,24.24%,-6.03%,26.05%,34.89%,31.83%,88.65%,29.61%,2.87,3.14,91.23%,3.38,0.52,0.76,68.52%,0.88,21.29,27.86,-6.57,23.29,5.05,4.48,4.35,0.7,
念心湖酒店,后勤管理中心,念心湖酒店,,,609.17,685.92,88.81%,-76.75,690.18,0,0,,1.21,154.61,178.23,86.75%,190.83,454.56,507.69,89.53%,498.14,74.62%,74.02%,0.60%,72.18%,270.06,272.23,99.20%,283.42,533.25,542.07,98.37%,522.18,0.35,0,0,1.01,0,0.31,-349.41,-306.61,86.04%,-42.8,-307.77,-57.36%,-44.70%,-12.66%,-44.59%,44.33%,39.69%,99.20%,41.06%,2.26,2.52,89.52%,2.44,-1.29,-1.13,85.13%,-1.09,40.57,49,-8.43,49.71,6.66,5.7,5.56,1.1,营收/利润取值
酒店早餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店早餐厅,155,177,87.57%,-22,175.77,0,0,,0,69.93,84.9,82.37%,88.74,85.07,92.1,92.37%,87.03,54.88%,52.03%,2.85%,49.51%,46.35,47.77,97.02%,47.16,21.92,22.45,97.60%,20.63,0.3,0,0,0.25,0,0.22,16.85,21.87,77.03%,-5.02,19.02,10.87%,12.36%,-1.49%,10.82%,29.90%,26.99%,97.02%,26.83%,3.34,3.71,90.26%,3.73,0.36,0.46,79.39%,0.4,8.57,10,-1.43,10,5.41,4.72,4.78,0.63,
酒店中餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店中餐厅,142.58,156,91.40%,-13.42,171,0,0,,0,84.89,93.33,90.96%,101.15,57.69,62.67,92.05%,69.85,40.46%,40.17%,0.29%,40.85%,132.61,135.57,97.82%,142.04,40.07,36.7,109.16%,35.76,0,0,0,0.04,0,0,-115.04,-109.61,95.04%,-5.43,-107.94,-80.68%,-70.26%,-10.42%,-63.12%,93.01%,86.91%,97.82%,83.06%,1.08,1.15,93.44%,1.2,-0.87,-0.81,92.70%,-0.76,19,24,-5,24.29,6.98,5.85,5.65,1.33,
酒店客房部,后勤管理中心,念心湖酒店,酒店本级,酒店客房部,311.6,352.92,88.29%,-41.32,343.41,0,0,,1.21,-0.21,0,,0.94,0,352.92,0.00%,341.26,0.00%,100.00%,-100.00%,99.37%,91.1,88.89,102.49%,94.22,471.26,482.91,97.59%,465.8,0.05,0,0,0.72,0,0.09,-251.22,-218.88,85.23%,-32.34,-218.85,-80.62%,-62.02%,-18.60%,-63.73%,29.24%,25.19%,102.49%,27.44%,3.42,3.97,86.15%,3.64,-2.76,-2.46,88.01%,-2.32,13,15,-2,15.43,7.01,6.11,5.93,1.08,
海亮后勤车队,后勤管理中心,海亮后勤车队,海亮后勤车队,海亮后勤车队,"2,056.67","2,152.50",95.55%,-95.83,"2,477.13",0,0,,0.23,0,0,,0,0,"2,152.50",0.00%,"2,476.89",0.00%,100.00%,-100.00%,99.99%,667.36,642.55,103.86%,672.4,"1,244.02","1,156.94",107.53%,"1,382.77",25.24,10.59,9.14,11.09,0,0,159.44,363.6,43.85%,-204.16,430.86,7.75%,16.89%,-9.14%,17.39%,32.45%,29.85%,103.86%,27.14%,3.08,3.35,92.00%,3.68,0.24,0.57,42.22%,0.64,54,63,-9,62.57,12.36,10.75,10.2,2.16,营收/利润取值
海亮医院,后勤管理中心,海亮医院,海亮医院,海亮医院,"2,206.35","2,133.25",103.43%,73.1,"2,083.73",0.02,0,,-51.54,0,0,,0,0,"2,133.25",0.00%,"2,135.26",0.00%,100.00%,-100.00%,102.47%,598.1,665.89,89.82%,665.84,696.72,717.41,97.12%,789.01,0.2,0,0.01,0.06,0,-1.34,911.65,749.96,121.56%,161.69,681.77,41.32%,35.16%,6.16%,32.72%,27.11%,31.21%,89.82%,31.95%,3.69,3.2,115.15%,3.13,1.52,1.13,135.34%,1.02,58.29,69.29,-11,68,10.26,9.79,9.61,0.65,营收/利润取值
中心其余业务部门,后勤管理中心,中心其余业务部门,,,599.62,600.98,99.77%,-1.36,636.62,0.48,0,,30.17,165.28,203.39,81.26%,245.71,433.86,397.59,109.12%,360.74,72.36%,66.16%,6.20%,56.67%,454.2,479.54,94.72%,490.89,237.3,224.29,105.80%,154.45,0.86,0,0.38,0.49,0,0,-257.28,-306.24,115.99%,48.96,-284.23,-42.91%,-50.96%,8.05%,-44.65%,75.75%,79.79%,94.72%,77.11%,1.32,1.25,105.34%,1.3,-0.57,-0.64,111.30%,-0.58,96.43,111,-14.57,114.29,4.71,4.3,4.32,0.39,营收/利润取值
后勤加工中心,后勤管理中心,中心其余业务部门,后勤加工中心,后勤加工中心,0,0,,0,0,0.48,0,,0,1.51,1.9,79.56%,3.26,-1.99,-1.9,95.19%,-3.26,,,0.00%,,91.94,101.93,90.20%,109.32,112.74,102.59,109.90%,90.74,0,0,0,0.49,0,0,-207.17,-206.42,99.64%,-0.75,-203.32,,,0.00%,,,,90.20%,,0,0,,0,-2.25,-2.03,88.73%,-1.86,22.43,26,-3.57,26.29,4.1,4.16,3.92,0.18,
科研大厦食堂,后勤管理中心,中心其余业务部门,科研大厦食堂,科研大厦食堂,245.76,239.84,102.47%,5.92,266.87,0,0,,0,163.77,201.49,81.28%,242.45,81.99,38.35,213.78%,24.42,33.36%,15.99%,17.37%,9.15%,178.76,186.49,95.85%,188.78,33.23,51.77,64.19%,39.43,0.5,0,0,0,0,0,-129.5,-199.9,135.22%,70.4,-203.79,-52.69%,-83.35%,30.65%,-76.36%,72.74%,77.76%,95.85%,70.74%,1.37,1.29,106.90%,1.41,-0.72,-1.07,132.42%,-1.08,31.14,37,-5.86,39.43,5.74,4.79,5.04,0.7,
后勤一卡通管理,后勤管理中心,中心其余业务部门,后勤一卡通管理,后勤一卡通管理,46.57,50,93.14%,-3.43,48.24,0,0,,30.11,0,0,,0,46.57,50,93.14%,18.14,100.00%,100.00%,0.00%,37.59%,0,0,,0,89.05,66.16,134.60%,21.83,0,0,0,0,0,0,-42.48,-16.16,-62.87%,-26.32,-3.7,-91.22%,-32.32%,-58.90%,-7.66%,0.00%,0.00%,,0.00%,-1,-1,100.00%,,-1,-1,100.00%,,0,0,0,0,,,,,
湘湖后勤,后勤管理中心,中心其余业务部门,湘湖后勤,湘湖后勤,307.29,311.14,98.76%,-3.85,321.51,0,0,,0.07,0,0,,0,123.79,120.03,103.13%,128.72,40.28%,38.58%,1.71%,40.03%,183.5,191.11,96.02%,192.79,2.27,3.78,60.12%,2.45,0.36,0,0.38,0,0,0,121.88,116.25,104.85%,5.63,126.58,39.66%,37.36%,2.30%,39.37%,59.72%,61.42%,96.02%,59.97%,1.67,1.63,102.86%,1.67,0.66,0.61,109.20%,0.66,42.86,48,-5.14,48.57,4.28,3.97,3.98,0.3,
中心管理部门,后勤管理中心,中心管理部门,,,"1,669.00","1,746.72",95.55%,-77.72,"1,561.64",0,0,,-0.65,0.07,0,,-19.09,"1,668.93","1,746.72",95.55%,"1,581.38",100.00%,100.00%,0.00%,101.26%,"1,102.93","1,134.69",97.20%,"1,148.95","1,715.80","1,889.68",90.80%,"2,113.89",-0.02,0,10.92,4.28,0,1.52,"-1,154.10","-1,277.65",109.67%,123.55,"-1,672.07",-69.15%,-73.15%,4.00%,-107.07%,66.08%,64.96%,97.20%,73.57%,1.51,1.54,98.30%,1.36,-1.05,-1.13,107.07%,-1.46,163.14,198,-34.86,195.43,6.76,5.88,5.73,1.03,营收/利润取值
后勤安全管理部,后勤管理中心,中心管理部门,后勤安全管理部,后勤安全管理部,19.13,22.36,85.55%,-3.23,17.72,0,0,,0,0,0,,0,19.13,22.36,85.55%,17.72,100.00%,100.00%,0.00%,100.00%,427.66,413.4,103.45%,427.62,81.65,98.47,82.92%,81.13,0.28,0,0.51,2.7,0,0,-492.6,-489.51,99.37%,-3.09,-490.52,-2575.01%,-2189.21%,-385.80%,-2768.72%,2235.52%,1848.84%,103.45%,2413.64%,0.04,0.05,82.70%,0.04,-1.15,-1.18,102.72%,-1.15,65.71,78,-12.29,77.57,6.51,5.51,5.3,1.21,
后勤餐饮运营部,后勤管理中心,中心管理部门,后勤餐饮运营部,后勤餐饮运营部,21.47,25.34,84.73%,-3.87,29.69,0,0,,-0.65,0.07,0,,-19.09,21.4,25.34,84.46%,49.43,99.68%,100.00%,-0.32%,166.48%,162.72,150.38,108.21%,145.88,14.22,38.47,36.97%,46.04,-0.38,0,8.26,0.84,0,0.11,-156.76,-163.51,104.13%,6.75,-134.34,-730.14%,-645.28%,-84.85%,-452.47%,757.90%,593.46%,108.21%,491.33%,0.13,0.17,78.30%,0.2,-0.96,-1.09,111.40%,-0.92,18,23,-5,22.29,9.04,6.55,6.54,2.5,
后勤管理中心总监室,后勤管理中心,中心管理部门,后勤管理中心总监室,后勤管理中心总监室,0,63.16,0.00%,-63.16,0,0,0,,0,0,0,,0,0,63.16,0.00%,0,,100.00%,-100.00%,,28.46,38.58,73.78%,48.04,353.93,408.85,86.57%,367.22,0,0,0,0,0,0,-382.39,-384.26,100.49%,1.87,-415.26,,-608.40%,608.40%,,,61.08%,73.78%,,0,1.64,0.00%,0,-13.43,-9.96,65.12%,-8.64,0.86,1,-0.14,2.71,33.21,17.7,38.58,-5.37,
后勤物业管理部,后勤管理中心,中心管理部门,后勤物业管理部,后勤物业管理部,"1,628.39","1,635.86",99.54%,-7.47,"1,514.23",0,0,,0,0,0,,0,"1,628.39","1,635.86",99.54%,"1,514.23",100.00%,100.00%,0.00%,100.00%,484.09,532.33,90.94%,527.4,"1,266.00","1,343.90",94.20%,"1,616.85",0.08,0,2.14,0.74,0,1.41,-122.36,-240.37,149.09%,118.01,-629.29,-7.51%,-14.69%,7.18%,-41.56%,29.73%,32.54%,90.94%,34.83%,3.36,3.07,109.46%,2.87,-0.25,-0.45,144.02%,-1.19,78.57,96,-17.43,90.29,6.16,5.84,5.55,0.62,
后勤综合管理部,后勤管理中心,中心管理部门,后勤综合管理部,后勤综合管理部,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,,,0.00%,,0,0,,0,0,0,,2.65,0,0,0.01,0,0,0,0,0,0.00%,0,-2.64,,,0.00%,,,,,,-1,-1,100.00%,0,-1,-1,100.00%,-528.29,0,0,0,2.57,,0,,,
教育园特色餐饮,后勤管理中心,教育园特色餐饮,,,"1,388.30","1,461.14",95.02%,-72.84,"1,353.74",0,0,,0.63,574.69,574.35,100.06%,528.07,813.61,886.79,91.75%,825.04,58.60%,60.69%,-2.09%,60.95%,346.25,352.73,98.16%,318.98,157.27,174.12,90.32%,189.78,0.41,0,0.02,1.76,0,0.3,308.75,359.93,85.78%,-51.18,316,22.24%,24.63%,-2.39%,23.34%,24.94%,24.14%,98.16%,23.56%,4.01,4.14,96.79%,4.24,0.89,1.02,87.39%,0.99,66.43,77.86,-11.43,71.71,5.21,4.45,4.53,0.68,营收/利润取值
生活体验广场,后勤管理中心,教育园特色餐饮,教育园特色餐饮,生活体验广场,"1,080.53","1,080.58",100.00%,-0.05,"1,001.74",0,0,,0.63,458.74,437.21,104.92%,401.12,621.79,643.36,96.65%,600,57.54%,59.54%,-1.99%,59.90%,238.86,231.59,103.14%,214.74,129.2,144.1,89.66%,160.66,0.41,0,0,1.44,0,0.3,252.71,267.68,94.41%,-14.97,224.3,23.39%,24.77%,-1.38%,22.39%,22.11%,21.43%,103.14%,21.44%,4.52,4.67,96.95%,4.66,1.06,1.16,91.53%,1.04,45.14,50,-4.86,48.43,5.29,4.43,4.63,0.66,
中西餐厅,后勤管理中心,教育园特色餐饮,教育园特色餐饮,中西餐厅,307.77,380.56,80.87%,-72.79,352.01,0,0,,0,115.95,137.13,84.55%,126.96,191.82,243.43,78.80%,225.05,62.33%,63.97%,-1.64%,63.93%,107.39,121.14,88.65%,104.24,28.07,30.03,93.49%,29.12,0,0,0.02,0.32,0,0,56.04,92.26,60.74%,-36.22,91.71,18.21%,24.24%,-6.03%,26.05%,34.89%,31.83%,88.65%,29.61%,2.87,3.14,91.23%,3.38,0.52,0.76,68.52%,0.88,21.29,27.86,-6.57,23.29,5.05,4.48,4.35,0.7,
念心湖酒店,后勤管理中心,念心湖酒店,,,609.17,685.92,88.81%,-76.75,690.18,0,0,,1.21,154.61,178.23,86.75%,190.83,454.56,507.69,89.53%,498.14,74.62%,74.02%,0.60%,72.18%,270.06,272.23,99.20%,283.42,533.25,542.07,98.37%,522.18,0.35,0,0,1.01,0,0.31,-349.41,-306.61,86.04%,-42.8,-307.77,-57.36%,-44.70%,-12.66%,-44.59%,44.33%,39.69%,99.20%,41.06%,2.26,2.52,89.52%,2.44,-1.29,-1.13,85.13%,-1.09,40.57,49,-8.43,49.71,6.66,5.7,5.56,1.1,营收/利润取值
酒店早餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店早餐厅,155,177,87.57%,-22,175.77,0,0,,0,69.93,84.9,82.37%,88.74,85.07,92.1,92.37%,87.03,54.88%,52.03%,2.85%,49.51%,46.35,47.77,97.02%,47.16,21.92,22.45,97.60%,20.63,0.3,0,0,0.25,0,0.22,16.85,21.87,77.03%,-5.02,19.02,10.87%,12.36%,-1.49%,10.82%,29.90%,26.99%,97.02%,26.83%,3.34,3.71,90.26%,3.73,0.36,0.46,79.39%,0.4,8.57,10,-1.43,10,5.41,4.72,4.78,0.63,
酒店中餐厅,后勤管理中心,念心湖酒店,酒店本级,酒店中餐厅,142.58,156,91.40%,-13.42,171,0,0,,0,84.89,93.33,90.96%,101.15,57.69,62.67,92.05%,69.85,40.46%,40.17%,0.29%,40.85%,132.61,135.57,97.82%,142.04,40.07,36.7,109.16%,35.76,0,0,0,0.04,0,0,-115.04,-109.61,95.04%,-5.43,-107.94,-80.68%,-70.26%,-10.42%,-63.12%,93.01%,86.91%,97.82%,83.06%,1.08,1.15,93.44%,1.2,-0.87,-0.81,92.70%,-0.76,19,24,-5,24.29,6.98,5.85,5.65,1.33,
酒店客房部,后勤管理中心,念心湖酒店,酒店本级,酒店客房部,311.6,352.92,88.29%,-41.32,343.41,0,0,,1.21,-0.21,0,,0.94,0,352.92,0.00%,341.26,0.00%,100.00%,-100.00%,99.37%,91.1,88.89,102.49%,94.22,471.26,482.91,97.59%,465.8,0.05,0,0,0.72,0,0.09,-251.22,-218.88,85.23%,-32.34,-218.85,-80.62%,-62.02%,-18.60%,-63.73%,29.24%,25.19%,102.49%,27.44%,3.42,3.97,86.15%,3.64,-2.76,-2.46,88.01%,-2.32,13,15,-2,15.43,7.01,6.11,5.93,1.08,
海亮后勤车队,后勤管理中心,海亮后勤车队,海亮后勤车队,海亮后勤车队,"2,056.67","2,152.50",95.55%,-95.83,"2,477.13",0,0,,0.23,0,0,,0,0,"2,152.50",0.00%,"2,476.89",0.00%,100.00%,-100.00%,99.99%,667.36,642.55,103.86%,672.4,"1,244.02","1,156.94",107.53%,"1,382.77",25.24,10.59,9.14,11.09,0,0,159.44,363.6,43.85%,-204.16,430.86,7.75%,16.89%,-9.14%,17.39%,32.45%,29.85%,103.86%,27.14%,3.08,3.35,92.00%,3.68,0.24,0.57,42.22%,0.64,54,63,-9,62.57,12.36,10.75,10.2,2.16,营收/利润取值
